OMoD,Companies,Cantons,Zip_codes,Cities,Streets,Group,latitude,longitude
3800021,Psychiatrische Universitätsklinik Zürich,ZH,8462,Rheinau ZH,Alleestrasse 57,Remettantes,47.6349352,8.6040356
2700038,Dein Garagist GmbH,ZH,8246,Langwiesen,Hauptstrasse 36,Remettantes,47.6841688,8.6644978
2700015,Amsler  AG,ZH,8245,Feuerthalen,Lindenstr. 16,Remettantes,47.6916256,8.6444842
1300013,Vepochemie AG,ZH,8143,Stallikon,Schleetal 284,Remettantes,47.3197262,8.4867207
1100029,Max Lehner AG,ZH,8913,Ottenbach,Stüdlerstr. 14,Remettantes,47.2829069,8.3994141
1000002,Kälin Galvanik,ZH,8912,Obfelden,Bachstrasse 28,Remettantes,47.2671232,8.4228344
900078,Dr. med. von Burg Felix,ZH,8932,Mettmenstetten,Bahnhofstrasse 2,Remettantes,47.2437568,8.4621651
500001,Dr. W. Kolb AG,ZH,8908,Hedingen,Maienbrunnenstrasse 1,Remettantes,47.2991819,8.4427523
200003,Medena AG,ZH,8910,Affoltern am Albis,Industriestr. 16,Remettantes,47.2723098,8.444955
130100006,Steinauer AG Recycling & Umweltservice,SZ,8840,Einsiedeln,Umfahrungsstrasse 10,Remettantes,47.1415281,8.7509341
615300213,"CIMO, Compagnie ind.Monthey SA, four à boues D700",VS,1870,Monthey 1,Route de l'Ile au Bois -,Incinération,46.2546488,6.9589562
26104957,ETH Zürich,ZH,8092,Zürich,Universitaetstrasse 6,Regroupement,47.3785319,8.5490961
401200013,Gemeindeverband fr Kehrichtbeseitigung Region Aarau-Lenzburg (GEKAL),AG,5033,Buchs AG,Im Lostorf 11,Incinération,47.3883466,8.1027297
35100097,Universitt Bern,BE,3012,Bern,Freiestrasse 3,Regroupement,46.9527537,7.4294427
223300033,SFR - Socit Fribourgeoise de Recyclage,FR,1725,Posieux,Rte de la Comba 50,Regroupement,46.8001894,6.8547735
660100002,SIG - Usine d'incinration des Cheneviers,GE,1288,Aire-la-Ville,Route de Verbois 40,Incinération,46.1950192,6.0316034
662101135,"Service Sant au travail, environnement, prvention et scurit (STEPS) - Dchets Spciaux",GE,1205,Genve,Quai Ernest-Ansermet 30,Regroupement,46.1980402,6.1324162
662102750,Centre Mdical Universitaire - CMU,GE,1206,Genve,Rue Michel-Servet 1,Regroupement,46.193714,6.1518052
390100331,"Stadt Chur, Grn und Werkbetrieb",GR,7000,Chur,Industriestrasse 14,Regroupement,46.8558676,9.5101473
394500089,Chiresa AG - Geschftsbereich REMED,GR,7203,Trimmis,Rheinstrasse 34,Regroupement,46.917857,9.5571093
130100167,Schdler Mulden AG,SZ,8840,Einsiedeln,Zrichstrasse 64,Regroupement,47.1367166,8.7459467
548200025,Rudosa Srl,VD,1312,Eclpens,ZI les Portettes,Regroupement,46.6525234,6.5296659
587200145,Socit Anonyme des auto-transports de la Valle de Joux A.V.J.,VD,1347,Le Sentier,Route du Canal 7,Regroupement,46.6050533,6.2388434
11700096,"Zweckverband Kehrichtverwertung Zrcher Oberland, Sonderabfallannahmestelle",ZH,8340,Hinwil,Wildbachstrasse 2,Regroupement,47.307831,8.8204592
26100303,"Universitt Zrich, Stab Sicherheit und Umwelt",ZH,8057,Zrich,Winterthurerstrasse 190,Regroupement,47.3969488,8.5487534
